id t x y z intensity
51 5 14.43 28.83 0.44 27
51 6 14.19 28.61 0.37 22
51 7 15.00 28.30 0.29 11
51 8 13.99 27.38 0.10 14
51 9 13.35 26.45 0.01 13
51 10 13.43 25.57 0.01 10
51 11 12.95 25.16 0.04 8
51 12 12.84 24.18 0.18 10
51 13 12.60 23.78 0.27 18
51 14 12.60 23.61 0.31 25
52 1 25.79 27.48 0.12 11
55 1 25.37 28.11 0.24 5
56 1 49.63 22.11 0.84 6
56 2 49.25 22.06 0.86 6
56 3 49.31 22.72 0.59 14
56 4 49.67 23.76 0.27 15
56 5 48.96 25.28 0.03 7
56 6 47.86 25.97 0.00 17
56 7 47.35 25.89 0.00 21
56 8 48.02 27.13 0.07 27
56 9 48.08 28.91 0.46 6
56 10 48.46 29.17 0.55 4
56 11 48.67 30.33 1.06 3
56 12 51.55 30.27 1.03 3
58 1 9.31 21.07 1.40 10
58 2 9.39 21.52 1.14 14
58 3 8.81 22.10 0.85 20
58 4 8.76 23.18 0.43 18
58 5 8.27 24.25 0.16 16
58 6 8.01 24.90 0.06 16
58 7 7.63 25.22 0.03 17
58 8 7.48 26.03 0.00 17
58 9 6.76 26.83 0.04 22
58 10 6.79 27.65 0.15 9
58 11 6.46 27.81 0.18 3
60 1 35.74 27.68 0.15 47
60 2 35.61 27.91 0.20 47
60 3 35.54 27.53 0.12 53
60 4 35.47 27.75 0.17 48
60 5 35.20 27.90 0.19 46
60 6 34.98 28.03 0.22 45
60 7 35.08 27.38 0.10 45
60 8 35.08 27.42 0.11 51
60 9 35.28 27.46 0.11 43
60 10 35.00 27.61 0.14 47
60 11 34.79 27.67 0.15 47
60 12 34.35 27.50 0.12 40
60 13 34.63 27.01 0.05 45
60 14 34.70 27.07 0.06 48
60 15 34.94 27.20 0.08 40
60 16 35.12 26.66 0.02 37
60 17 35.14 27.20 0.08 36
60 18 34.80 27.50 0.12 18
60 19 33.92 29.58 0.71 7
60 20 33.25 29.92 0.86 3
60 21 35.16 29.40 0.64 42
60 22 35.21 28.43 0.32 41
60 23 35.10 27.73 0.16 46
60 24 35.19 27.71 0.16 45
60 25 35.15 26.53 0.01 21
60 26 32.85 25.74 0.00 48
60 27 33.54 26.15 0.00 70
60 28 33.49 26.47 0.01 66
60 29 32.87 26.63 0.02 39
60 30 34.33 26.33 0.01 70
60 31 33.31 26.49 0.01 49
60 32 33.92 25.88 0.00 44
60 33 33.74 24.96 0.06 30
62 1 0.46 24.74 0.08 9
62 2 0.57 24.62 0.10 3
63 1 18.80 28.36 0.30 4
63 2 19.68 26.39 0.01 9
63 3 20.46 25.85 0.00 15
63 4 20.45 25.24 0.03 24
63 5 21.39 25.65 0.01 42
63 6 21.51 24.64 0.10 29
63 7 20.28 22.91 0.52 19
63 8 19.42 21.95 0.92 7
63 9 18.68 22.22 0.79 6
64 1 44.55 24.94 0.06 8
65 1 49.35 23.43 0.36 4
65 2 49.52 24.41 0.14 7
65 3 49.35 24.87 0.07 11
65 4 49.18 26.18 0.00 15
65 5 49.63 26.03 0.00 18
65 6 49.85 26.93 0.05 14
65 7 49.21 27.25 0.08 13
65 8 49.07 27.31 0.09 18
65 9 49.48 27.81 0.18 16
65 10 49.29 27.40 0.10 11
65 11 49.94 26.46 0.01 5
65 12 49.54 27.24 0.08 12
65 13 49.64 26.42 0.01 15
65 14 49.83 26.99 0.05 13
65 15 49.85 28.94 0.47 4
66 6 0.07 29.92 0.86 9
67 1 8.84 23.62 0.31 5
67 2 9.35 24.39 0.14 38
67 3 9.33 24.68 0.09 40
67 4 8.91 25.49 0.01 36
67 5 8.69 26.23 0.00 37
67 6 7.32 27.63 0.14 13
67 7 7.37 28.71 0.40 15
67 8 7.18 28.41 0.32 15
67 9 6.85 29.95 0.87 12
68 1 24.32 30.91 1.39 4
68 2 24.44 31.10 1.51 17
68 3 24.66 30.51 1.15 19
68 4 24.67 30.17 0.98 20
68 5 24.52 29.42 0.64 33
68 6 24.95 28.38 0.31 36
68 7 25.38 27.54 0.13 34
68 8 25.05 27.93 0.20 38
68 9 25.33 26.74 0.03 33
68 10 25.33 26.85 0.04 38
68 11 25.77 24.31 0.15 4
68 12 25.11 22.13 0.83 21
68 13 24.70 21.71 1.04 13
68 14 24.83 22.17 0.82 9
68 15 24.67 22.94 0.51 10
68 16 24.30 23.53 0.33 15
68 17 24.60 24.30 0.15 29
68 18 24.32 24.92 0.06 27
68 19 24.25 25.52 0.01 25
68 20 24.58 25.85 0.00 22
68 21 24.04 25.91 0.00 21
68 22 23.84 26.63 0.02 19
68 23 23.60 27.24 0.08 7
68 24 24.80 25.75 0.00 3
68 25 26.62 22.84 0.55 11
68 26 26.72 22.40 0.72 14
68 27 25.54 23.48 0.35 3
68 28 26.03 24.36 0.15 19
68 29 24.03 25.02 0.05 18
68 30 24.71 26.21 0.00 5
68 31 24.90 27.49 0.12 11
68 32 25.00 28.39 0.31 15
68 33 24.45 29.81 0.81 4
70 1 42.65 25.23 0.03 4
70 2 42.76 25.79 0.00 12
70 3 42.33 27.21 0.08 3
72 1 25.85 23.68 0.29 3
73 1 12.38 25.54 0.01 5
73 2 12.53 26.81 0.04 8
73 3 13.31 26.60 0.02 19
73 4 13.51 26.56 0.02 18
73 5 13.84 27.00 0.05 13
73 6 13.22 25.70 0.00 45
73 7 13.00 24.43 0.13 4
73 8 12.71 25.05 0.05 46
73 9 13.56 25.03 0.05 22
73 10 13.92 25.25 0.03 17
73 11 14.63 25.82 0.00 34
73 12 14.38 26.18 0.00 39
73 13 14.77 26.68 0.02 37
73 14 14.37 26.51 0.01 29
73 15 13.83 26.04 0.00 48
73 16 15.18 26.99 0.05 29
73 17 15.53 27.20 0.08 28
73 18 15.65 26.44 0.01 42
73 19 16.27 25.61 0.01 35
73 20 16.53 25.48 0.01 42
73 21 17.10 25.39 0.02 46
73 22 17.08 25.35 0.02 52
73 23 16.97 25.62 0.01 53
73 24 17.04 25.75 0.00 37
73 25 16.27 27.11 0.07 19
73 26 16.03 27.13 0.07 25
73 27 16.33 26.49 0.01 32
73 28 16.02 26.50 0.01 40
73 29 16.03 26.89 0.04 23
73 30 17.25 25.58 0.01 12
73 31 16.92 25.11 0.04 8
73 32 16.61 24.70 0.09 21
73 33 16.58 25.95 0.00 18
74 1 41.80 28.29 0.28 4
74 2 42.39 29.26 0.58 4
75 1 41.71 22.90 0.52 11
75 2 42.19 24.68 0.09 19
75 3 42.44 26.19 0.00 30
75 4 42.76 25.53 0.01 34
75 5 43.03 25.36 0.02 25
75 6 43.68 24.44 0.13 26
75 7 43.74 25.40 0.02 26
75 8 43.79 25.21 0.03 22
75 9 43.89 25.59 0.01 18
75 10 44.33 25.77 0.00 6
75 11 44.28 26.77 0.03 16
75 12 44.21 26.89 0.04 7
75 13 43.61 24.90 0.06 9
75 14 44.03 25.73 0.00 9
78 1 26.16 29.76 0.79 19
78 2 26.93 29.87 0.83 24
78 3 27.06 28.65 0.38 28
78 4 28.38 27.01 0.05 17
78 5 28.63 26.08 0.00 9
79 1 51.04 25.06 0.05 3
79 2 51.05 24.71 0.09 9
79 3 51.16 24.32 0.15 9
79 4 51.91 24.98 0.06 23
79 5 51.83 25.70 0.00 17
79 6 50.20 25.04 0.05 29
79 7 48.89 24.47 0.13 13
79 8 49.28 25.09 0.04 9
79 9 48.96 25.91 0.00 28
79 10 49.53 26.50 0.01 29
79 11 49.62 26.62 0.02 4
79 12 49.50 27.06 0.06 6
79 13 48.66 26.91 0.04 34
79 14 49.01 25.94 0.00 42
79 15 49.97 25.54 0.01 49
79 16 49.07 26.00 0.00 52
79 17 49.56 26.76 0.03 39
79 18 51.36 26.77 0.03 18
79 19 49.95 25.67 0.01 45
79 20 49.33 25.51 0.01 46
79 21 48.72 25.53 0.01 46
79 22 48.87 25.74 0.00 42
79 23 49.48 27.19 0.08 16
79 24 50.47 27.08 0.06 13
79 25 49.55 26.66 0.02 19
79 26 50.02 27.82 0.18 16
79 27 50.72 27.45 0.11 5
80 1 32.99 22.05 0.87 3
83 1 7.57 27.76 0.17 9
88 1 9.56 24.84 0.07 9
89 1 42.34 24.54 0.11 16
90 1 8.14 22.91 0.52 13
90 2 8.04 22.82 0.55 16
90 3 7.65 23.65 0.30 15
93 1 39.40 22.98 0.50 4
94 1 45.61 29.47 0.67 3
95 1 7.12 29.96 0.87 10
95 2 7.03 27.18 0.07 36
95 3 7.01 26.87 0.04 37
95 4 6.62 26.87 0.04 35
95 5 6.47 26.50 0.01 39
95 6 6.23 26.04 0.00 43
95 7 5.98 26.05 0.00 42
95 8 5.93 26.14 0.00 37
95 9 5.53 26.76 0.03 36
95 10 5.63 27.13 0.07 32
95 11 5.15 27.16 0.07 41
95 12 5.45 26.33 0.01 45
95 13 5.60 26.01 0.00 41
95 14 6.56 24.42 0.13 19
95 15 6.96 23.23 0.42 8
95 16 6.06 23.15 0.44 12
95 17 5.62 22.21 0.80 6
97 1 31.47 29.45 0.66 19
98 1 36.41 22.96 0.50 48
98 2 33.84 23.12 0.45 7
99 1 39.49 23.86 0.25 8
99 2 36.94 23.39 0.37 56
99 3 36.96 24.11 0.19 51
99 4 35.05 24.90 0.06 6
99 5 36.35 25.66 0.01 48
99 6 35.53 26.38 0.01 50
99 7 35.47 27.26 0.08 49
99 8 35.36 27.66 0.15 48
99 9 35.88 27.83 0.18 54
99 10 35.82 28.19 0.26 54
99 11 36.00 28.18 0.26 56
99 12 34.31 26.34 0.01 10
99 13 34.38 26.74 0.03 13
99 14 34.29 27.03 0.06 26
99 15 33.49 26.79 0.03 22
99 16 33.23 27.75 0.17 13
99 17 32.67 27.48 0.12 4
99 18 32.56 26.75 0.03 12
99 19 32.25 27.36 0.10 28
99 20 30.81 26.58 0.02 13
99 21 30.61 26.94 0.05 6
99 22 30.72 27.21 0.08 7
101 1 24.11 22.30 0.76 4
101 2 24.98 22.25 0.78 16
101 3 25.62 22.46 0.69 23
101 4 25.95 22.18 0.81 19
101 5 25.84 23.75 0.27 18
101 6 25.59 22.51 0.67 6
103 1 23.40 31.08 1.49 6
103 2 22.96 30.00 0.89 17
103 3 22.93 28.37 0.30 21
103 4 22.73 28.73 0.41 30
103 5 22.70 28.08 0.23 34
103 6 22.73 26.85 0.04 40
103 7 22.87 25.67 0.01 44
103 8 23.23 25.78 0.00 47
103 9 23.20 25.03 0.05 42
103 10 22.48 25.74 0.00 52
103 11 22.58 25.64 0.01 39
103 12 22.18 26.29 0.00 25
103 13 22.84 26.38 0.01 18
103 14 22.62 24.60 0.10 12
103 15 23.35 24.86 0.07 7
105 1 40.28 25.11 0.04 7
105 2 39.19 25.92 0.00 3
105 3 39.30 25.01 0.05 5
105 4 40.65 24.87 0.07 27
105 5 39.57 25.37 0.02 28
105 6 40.73 25.97 0.00 32
105 7 38.77 26.53 0.01 4
105 8 40.66 27.97 0.21 37
105 9 39.47 28.63 0.37 37
105 10 41.08 30.23 1.01 4
108 1 16.04 25.27 0.03 4
110 1 0.55 25.50 0.01 5
110 2 0.48 26.19 0.00 13
110 3 1.59 25.28 0.03 9
110 4 0.79 25.48 0.01 4
110 5 0.74 26.42 0.01 6
111 1 3.02 30.18 0.98 12
112 5 51.55 28.03 0.22 5
113 1 16.04 23.87 0.25 3
114 1 9.51 29.93 0.86 7
115 1 30.63 32.57 2.68 3
115 3 29.97 32.29 2.42 8
115 4 29.29 29.72 0.77 27
115 5 30.17 29.48 0.67 34
115 6 29.29 29.78 0.79 27
115 7 29.60 30.15 0.97 37
115 8 30.14 30.06 0.92 36
115 9 30.36 27.55 0.13 17
115 10 29.08 29.00 0.49 13
115 11 29.45 27.97 0.21 14
116 1 16.31 26.68 0.02 4
117 1 37.90 26.36 0.01 10
117 2 37.71 27.03 0.06 5
117 3 37.36 27.69 0.15 6
119 1 17.42 26.80 0.03 4
119 2 17.41 26.30 0.00 5
119 3 15.23 27.98 0.21 15
119 4 12.41 29.79 0.80 11
119 5 11.41 30.52 1.16 16
119 6 10.77 31.30 1.64 20
119 7 11.91 31.55 1.81 20
119 8 12.19 31.22 1.59 13
119 9 11.66 31.17 1.55 25
119 10 12.71 30.68 1.25 23
119 11 12.93 29.67 0.75 28
119 12 12.16 29.77 0.79 22
119 13 10.79 30.62 1.22 8
119 14 11.40 29.45 0.66 22
119 15 11.28 29.47 0.66 11
120 1 47.04 27.40 0.10 9
120 2 49.38 27.82 0.18 25
120 3 47.29 29.28 0.59 5
120 4 46.54 30.30 1.04 4
122 1 22.71 29.55 0.70 7
122 2 22.26 29.51 0.68 12
122 3 22.73 27.66 0.15 36
122 4 22.61 29.21 0.57 26
122 5 22.68 29.56 0.70 30
122 6 22.94 29.65 0.74 28
122 7 23.14 29.11 0.53 12
122 8 24.07 27.75 0.16 14
124 1 46.76 24.51 0.12 9
124 2 47.84 25.45 0.02 10
124 3 48.45 27.46 0.11 33
124 4 48.83 27.30 0.09 37
124 5 48.14 27.71 0.16 32
124 6 48.51 28.02 0.22 30
124 7 49.00 28.09 0.24 41
124 8 48.44 27.17 0.07 25
124 9 47.78 25.96 0.00 28
124 10 47.71 25.60 0.01 13
124 11 47.88 24.53 0.12 17
124 12 47.76 24.39 0.14 18
124 13 48.18 24.22 0.17 14
124 14 48.32 24.71 0.09 8
124 15 49.00 25.46 0.02 8
125 1 11.05 23.74 0.28 6
125 2 12.04 24.96 0.06 4
125 3 11.54 24.22 0.17 6
127 1 39.65 31.85 2.04 3
128 1 0.86 25.42 0.02 10
128 2 0.94 26.72 0.03 6
128 3 0.17 27.77 0.17 10
128 4 0.34 28.59 0.36 11
129 1 23.54 23.14 0.45 4
131 1 39.50 31.38 1.69 3
131 2 40.94 31.31 1.64 4
131 3 41.07 32.03 2.19 7
131 4 39.00 31.04 1.47 9
131 5 41.86 31.48 1.77 7
133 1 20.35 22.98 0.50 17
135 1 10.55 23.65 0.30 10
135 2 10.43 24.23 0.17 13
135 3 11.10 24.41 0.14 11
135 4 11.62 23.72 0.28 12
135 5 11.73 23.54 0.33 10
135 6 11.95 23.91 0.23 3
135 7 13.18 26.37 0.01 4
136 1 24.10 22.05 0.87 3
139 1 18.86 22.96 0.51 6
140 1 34.46 27.36 0.10 8
140 2 36.98 25.92 0.00 16
140 3 36.28 27.03 0.06 31
140 4 38.86 25.90 0.00 24
140 5 40.19 26.90 0.04 14
140 6 40.52 26.68 0.02 26
140 7 40.33 26.30 0.00 37
140 8 40.19 26.87 0.04 36
140 9 40.67 26.67 0.02 36
141 1 25.76 23.43 0.36 4
141 2 27.39 24.31 0.15 3
141 3 27.45 25.03 0.05 18
141 4 26.26 24.44 0.13 22
141 5 25.47 24.42 0.13 17
141 6 25.84 23.30 0.40 6
142 1 28.19 32.82 2.93 11
142 2 28.52 31.54 1.80 3
142 3 28.43 31.14 1.53 16
142 4 28.55 30.06 0.92 19
142 5 28.81 29.13 0.54 24
142 6 28.71 27.49 0.12 50
142 7 28.70 27.19 0.08 59
142 8 29.04 26.93 0.05 65
145 1 18.26 24.15 0.18 3
146 1 43.53 29.64 0.73 3
149 1 13.14 25.11 0.04 5
149 2 12.56 26.69 0.03 68
149 3 12.10 26.64 0.02 59
